year,month,day,statefips,case_count,death_count,test_count,case_rate,death_rate,test_rate,new_positives_rate,new_case_rate,new_death_rate,new_test_rate,new_case_count,new_death_count,new_test_count,emp_combined,emp_combined_inclow,emp_combined_incmiddle,emp_combined_inchigh,emp_combined_ss40,emp_combined_ss60,emp_combined_ss65,emp_combined_ss70
2020,1,23,44,0,0,.,0,0,.,.,.,.,.,.,.,.,.0043,.0117,.00277,.000939,.00215,.00665,.0061,.00414
2020,1,23,45,0,0,.,0,0,.,.,.,.,.,.,.,.,.00387,.00326,.00658,-.00235,.00187,.00473,.00934,.00251
2020,1,23,46,0,0,.,0,0,.,.,.,.,.,.,.,.,.0104,.0268,.0154,.,.,-.000177,.,-.00178
2020,1,23,47,0,0,.,0,0,.,.,.,.,.,.,.,.,.00381,.00517,.00488,-.000774,.00118,.00387,.00102,.0106
2020,1,23,48,0,0,.,0,0,.,.,.,.,.,.,.,.,.00447,.00393,.00698,.000453,.00423,.00525,.00472,.00261
2020,1,23,49,0,0,.,0,0,.,.,.,.,.,.,.,.,.00558,.0125,.00365,.000257,.00317,.00075,.0122,.00249
2020,1,23,5,0,0,.,0,0,.,.,.,.,.,.,.,.,-.000679,-.00197,.00313,.,-.00069,.00194,.,-.00707
2020,1,23,50,0,0,.,0,0,.,.,.,.,.,.,.,.,.0016,.0136,.00151,-.00995,-.00265,.00622,.00668,.00393
2020,1,23,51,0,0,.,0,0,.,.,.,.,.,.,.,.,.000614,.00289,.00186,-.00264,.00096,-.00115,.00284,.00235
2020,1,23,53,1,0,0,.0131,0,0,.,.,.,.,.,.,.,.00734,-.0374,.0108,.00488,.00563,.00467,.0142,.0121
2020,1,23,54,0,0,.,0,0,.,.,.,.,.,.,.,.,.00515,.0107,.00378,-.00339,.00167,-.000561,-.0017,.0237
2020,1,23,55,0,0,.,0,0,.,.,.,.,.,.,.,.,.00402,.01,.00257,-.000925,.00436,.0063,.000787,.00675
2020,1,23,56,0,0,.,0,0,.,.,.,.,.,.,.,.,.00646,.00223,.00225,.,-.00503,.00352,.00208,-.00314
2020,1,23,6,0,0,.,0,0,.,.,.,.,.,.,.,.,.00526,-.00801,.00831,.00455,.00244,.0048,.00842,.00299
2020,1,23,8,0,0,.,0,0,.,.,.,.,.,.,.,.,.00407,.00611,.00555,.000778,.00422,.00551,.00429,.00435
2020,1,23,9,0,0,.,0,0,.,.,.,.,.,.,.,.,.0026,.00646,.00272,-.000242,.00182,.00578,.000774,.00124
2020,1,24,1,0,0,.,0,0,.,.,.,.,.,.,.,.,.00248,.00178,.00677,-.00615,-.000606,.000772,.00497,.00197
2020,1,24,10,0,0,.,0,0,.,.,.,.,.,.,.,.,.00298,.00468,.00234,.00248,.00146,.00545,-.00471,.00553
2020,1,24,11,0,0,.,0,0,.,.,.,.,.,.,.,.,.00447,.000946,.00689,.00264,-.0038,.0038,.0112,.00228
2020,1,24,12,0,0,.,0,0,.,.,.,.,.,.,.,.,.00549,.00676,.00751,-.00068,.00718,.00424,.00651,.00375
2020,1,24,13,0,0,.,0,0,.,.,.,.,.,.,.,.,.00318,.00507,.00436,-.00123,.00237,.000461,.00588,.00203
2020,1,24,15,0,0,.,0,0,.,.,.,.,.,.,.,.,.0141,.0123,.0127,.,-.000358,.0131,.00928,.00163
2020,1,24,16,0,0,.,0,0,.,.,.,.,.,.,.,.,.00812,.0042,.00904,.0125,.00412,.00401,.0223,.0185
2020,1,24,17,1,0,.,.00789,0,.,.,.,.,.,.,.,.,.00392,.00379,.00527,.00183,.00401,.0076,.00489,.00175
2020,1,24,18,0,0,.,0,0,.,.,.,.,.,.,.,.,.00465,.00231,.00876,-.00226,.00369,.00235,.00864,.00343
2020,1,24,19,0,0,.,0,0,.,.,.,.,.,.,.,.,.00574,.00792,.00613,.00165,.00529,.0139,-.00169,.00372
2020,1,24,2,0,0,.,0,0,.,.,.,.,.,.,.,.,-.000713,-.0161,-.00504,.0156,-.0165,-.0687,.0234,-.00961
2020,1,24,20,0,0,.,0,0,.,.,.,.,.,.,.,.,.000299,.00446,-.00213,.00126,-.00639,.00916,.00461,-.0000458
2020,1,24,21,0,0,.,0,0,.,.,.,.,.,.,.,.,.00394,.00532,.00372,.00184,-.000963,.00391,.00546,.00644
2020,1,24,22,0,0,.,0,0,.,.,.,.,.,.,.,.,.00516,.00724,.00637,-.00166,-.000715,-.00119,.00835,.00522
2020,1,24,23,0,0,.,0,0,.,.,.,.,.,.,.,.,.00315,.00994,.00291,-.00539,.00182,.00399,.00295,-.000931
